Brand,Nama,Harga,Jumlah Review,Variasi,Foto Produk
NARS,Afterglow Liquid Blush,Rp 535.000,(711),9 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_0194251146010_AfterglowLiquidBlush_Aragon_1_6847254341eae7133a733970f257a795462ffbf7_1719297142.png
DIOR,Addict Refillable Shine Lipstick,Rp 750.000,(1572),23 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_3348901609760_1_48e33eaf7d618f6a0f1cfec1ffbf6e6b9e893edc_1649651864.png
LANEIGE,Glaze Craze Tinted Lip Serum,Rp 305.000,(1060),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_8809925177475-Laneige-Glaze-Craze-Tinted-Lip-Serum_034b57731adf2fd81409b65739bd0dcdc1e3c6c3_1750033460.png
Anastasia Beverly Hills,Dipbrow Pomade,Rp 445.000,(12770),10 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_zoom_10427_AnastasiaBeverlyHills_WEB_c8160d5baef2b3005e8477304fa0b1a78153728f_1602589753.png
Rare Beauty,Positive Light Liquid Luminizer Mini (Limited Edition),Rp 385.000,(576),5 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122901874-Rare-Beauty-Positive-Light-Liquid-Lum_09c7988ae0263e473216b38f4f813cf71b8cdfbb_1726211723.png
Natasha Denona,HY-Glam Concealer,Rp 620.000,(2097),36 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_7290113704688-Natasha-Denona-HY-Glam-Concealer-N1-Fair-Neutral_7cafb4a6c7c8893d987cd558c52ab55873c17235_1686221411.png
Yves Saint Laurent,Le Cushion Encre De Peau Foundation,Rp 1.450.000,(75),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_4936968808333-Yves-Saint-Laurent-Le-Cushion-Encre-_45fa9be2f0ca85f214e757027025524e2865b247_1711512067.png
Rare Beauty,Soft Pinch Matte Bouncy Blush,Rp 559.000,(1910),7 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122907180-Rare-Beauty-Soft-Pinch-Matte-Bouncy-B_79be1624e71c2296072f12074a48baf7fbbb0b2b_1753086640.png
Benefit Cosmetics,The POREfessional Super Setter Setting Spray,Rp 615.000,(3460),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_602004126573-Benefit-Cosmetics_8657b977d7514d07737415e72a2acc6edf7c5f39_1618903951.png
MAKE UP FOR EVER,HD Skin Powder Foundation,Rp 840.000,(2192),24 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3548752194624-Make-Up-For-Ever-HD-Skin-Powder-Foundation-1N00_7bcf91ef8d894a056e498bcd5e5bc7f2ad928c61_1675138088.png
Rare Beauty,Perfect Strokes Universal Volumizing Mascara,Rp 432.000,(5822),2 sizes,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122903212-Rare-Beauty-Perfect-Strokes-Universal-Volumizing-Mascara-13-5ml_35d81fb5539578b1b5f49950543594483659fb88_1680168639.png
MAKE UP FOR EVER,HD Skin Setting Powder,Rp 750.000,(526),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_2_Product_3548752207560-Make-Up-For-Ever-HD-Skin-Setting-Pow_7ee9a2c1cd324f84b3f2d86afa034a1b21f1ebba_1713940920.png
Rare Beauty,Brow Harmony Flexible Lifting Gel,Rp 381.000,(1436),,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122906640-RARE-BEAUTY-Brow-Harmony-Flexible-Lif_8d5861a1785aaed054a4d31805d9c3e6eb14cee9_1709107230.png
Sephora Collection,New Cream Lip Stain,Rp 288.000,(1712),40 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872212713-Sephora-collection-New-Cream-Lip-Sta_7ffe883754a69add03144ca534aaceda5d2223ad_1729835950.png
NARS,The Multiple Blush,Rp 606.000,(336),12 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_194251146294-NARS-The-Multiple-Blush-Shade_e75b7892f8da16e003df790336a651175948b81e_1753346520.png
